"","Area","Item","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020"
"2078","Eastern Europe","Pulses, Total",2640276,3452657,3337472,3021965,3725961,3289856,3296314,2322952,3099331,2983244,2804839,3839490,3740081,3378330,4015868,4455141,5193357,7417871,5679046,5272379,5358030
"2079","Eastern Europe","Roots and Tubers, Total",89208731,81333164,73653002,76550031,79680303,72616763,71336826,72714082,73574382,73653738,61170545,79721542,72958972,70563296,74527383,70918396,63407366,64285628,62615529,59080588,57720358
"2080","Eastern Europe","Sugar Crops Primary",49237541,52871465,54278537,54316564,64543994,62030744,77866620,68928187,60982572,55610013,56288067,89709200,87568800,73605271,77335904,69141392,91562286,96273996,82825764,90597334,68173944
"2081","Eastern Europe","Treenuts, Total",152236,165515,161382,206805,190083,199898,160557,165075,176380,184515,183182,214773,194560,220599,204581,223225,225393,234921,269983,258379,245665
"2082","Eastern Europe","Vegetables Primary",29962253,30618289,29023664,32028497,32842370,32095529,34384711,31933610,34873023,35754419,33198628,38220626,36977552,37569086,38498026,37707871,36044969,36569101,33472239,33950800,33067819
"2083","Northern Europe","Cereals, Total",50878986,44668053,48308037,47129768,48578797,47518429,44286293,45177133,52638093,50749854,45240746,47570933,48702755,49021363,56581162,59251793,52536673,55186497,43545076,58814203,52613266
"2084","Northern Europe","Eggs Primary",983274,1022405,1021206,1012888,1067092,1054710,1038907,1023752,1059049,1058822,1134775,1139554,1135709,1176494,1186812,1220365,1265753,1298669,1321337,1346116,1321162
"2085","Northern Europe","Fruit Primary",663578,737607,639790,601339,556225,736555,792139,684470,749707,699606,677194,706937,640768,861831,917393,968095,978343,1037846,1072002,1070805,1013760
"2086","Northern Europe","Meat, Total",7993962,7848198,7978419,7949693,8055553,8083453,8020311,8157390,7970453,7740237,8118345,8269320,8122174,8130385,8281198,8465232,8609460,8662248,8815534,8740287,9014231
"2087","Northern Europe","Milk, Total",35087200,35471726,35519992,35618735,35111113,34799300,34842844,34492211,34009934,34195188,34495855,34454012,34527021,34992531,36717740,37888437,37402165,38607612,39018682,39535915,40016342
"2088","Northern Europe","Pulses, Total",1113740,1255694,1267115,1219092,1160183,1109224,930886,864879,791375,1075623,1167443,980307,807361,959784,1251374,1887359,2334409,2548105,1568259,1719907,1881649
"2089","Northern Europe","Roots and Tubers, Total",13879568,12753669,13593273,12096825,12329453,11752237,10518172,10907780,11502262,11634095,10780492,11397455,9287772,10544948,10908981,10440518,10446334,11328368,9341087,10539410,11020992
"2090","Northern Europe","Sugar Crops Primary",19190280,18118026,19648000,18417000,18493100,17710500,14121800,12911488,12690213,14062000,12209421,15358277,13741188,14593060,15764610,10197100,11464912,14798347,12650020,13634810,11935680
"2091","Northern Europe","Vegetables Primary",4833153,4563295,4219952,4475011,4271271,4474875,4120253,3999108,4195585,4392433,4288815,4651956,4213648,4330008,4653117,4363478,4506625,4472021,3895859,3934647,4029415
"2092","Southern Europe","Cereals, Total",61901667,58737595,63731726,54960622,70748104,57232466,59605148,61879789,68267196,57596774,59366188,62569024,53827649,65108463,62539933,57605917,65503010,50081494,63426788,58579719,67609737
"2093","Southern Europe","Citrus Fruit, Total",10080355,10356862,10675867,10638382,10625215,10291552,11944402,10519855,11201257,10578668,11279552,11000732,9920789,10574292,11137182,12205624,11353618,10577627,10960761,10537809,11333418
"2094","Southern Europe","Eggs Primary",1793311,1835008,1894399,1935814,2043351,1872007,1936597,1980176,1999723,2085500,1995434,1989538,1941657,1930234,1982852,2015636,2054659,2055199,2034257,2048553,2078936
"2095","Southern Europe","Fruit Primary",46318874,45321819,44041463,45855449,47901668,46063132,48161822,45041383,45990670,45954643,46244209,45756377,41624609,47287241,45302918,48230458,47277111,44569982,48753281,46095828,48093548
