"Year","Country","New_cases","New_deaths","Cumulative_cases","Cumulative_deaths","Cases_100k","Deaths_100k"
2020,"Denmark",165341,1286,165341,1286,2835.35491624316,22.0530081606419
2020,"Djibouti",5824,61,5824,61,589.472490946375,6.1740765706952
2020,"Dominica",96,0,96,0,133.350002083594,0
2020,"Dominican Republic",169579,2409,169579,2409,1563.24207883846,22.2070549296896
2020,"Ecuador",211512,14023,211512,14023,1198.83965706629,79.4816772147235
2020,"Egypt",136644,7576,136644,7576,2109.83544050468,16.7311242296949
2020,"El Salvador",45960,1327,45960,1327,708.581186429468,20.4588171103547
2020,"Equatorial Guinea",5277,86,5277,86,376.126615751416,6.12978756009508
2020,"Eritrea",1252,1,1252,1,2109.83544050468,16.7311242296949
2020,"Estonia",27997,229,27997,229,2105.86252208572,17.2247925691192
2020,"Eswatini",9144,185,9144,185,788.164431925142,15.9460214245572
2020,"Ethiopia",123856,1918,123856,1918,107.734985956379,1.66835440402027
2020,"Falkland Islands (Malvinas)",29,0,29,0,2109.83544050468,16.7311242296949
2020,"Faroe Islands",608,0,608,0,1244.2443466694,0
2020,"Fiji",49,2,49,2,5.46604138127981,0.223103729848156
2020,"Finland",36426,592,36426,592,658.752450247697,10.706128879005
2020,"France",2564972,64004,2564972,64004,3806.73122913733,94.9897408586548
2020,"French Guiana",13045,71,13045,71,2109.83544050468,16.7311242296949
2020,"French Polynesia",16851,114,16851,114,5998.84658103836,40.583259761342
2020,"Gabon",9571,64,9571,64,430.016605802686,2.87546366851655
2020,"Gambia",3800,124,3800,124,2109.83544050468,16.7311242296949
2020,"Georgia",227420,2505,227420,2505,6108.98064746277,67.2895810478156
2020,"Germany",1734948,50323,1734948,50323,2086.25520528759,60.512834215024
2020,"Ghana",55064,335,55064,335,177.208822659069,1.07810830289823
2020,"Gibraltar",1785,6,1785,6,5298.15084147102,17.8089103914992
2020,"Greece",137918,4788,137918,4788,1288.88629712325,44.7453384665245
2020,"Greenland",27,0,27,0,47.9003672361488,0
2020,"Grenada",128,0,128,0,113.758565220096,0
2020,"Guadeloupe",8620,155,8620,155,2109.83544050468,16.7311242296949
2020,"Guam",7129,121,7129,121,4223.76661156633,71.6896843876457
2020,"Guatemala",137166,4803,137166,4803,813.639165865332,28.4903614135514
2020,"Guernsey",298,16,298,16,2109.83544050468,16.7311242296949
2020,"Guinea",13722,81,13722,81,104.486540257395,0.616776691506269
2020,"Guinea-Bissau",2452,45,2452,45,124.593622554494,2.28658768962164
2020,"Guyana",6301,164,6301,164,801.084216187215,20.8503112926049
2020,"Haiti",9999,236,9999,236,87.6910419816369,2.06971556232286
2020,"Holy See",26,0,26,0,2109.83544050468,16.7311242296949
2020,"Honduras",120912,3111,120912,3111,1220.76512265806,31.4096226725985
2020,"Hungary",322514,9537,322514,9537,3307.78534769058,97.8138898185043
2020,"Iceland",5763,29,5763,29,1572.60078097925,7.9134864911328
2020,"India",10266674,148738,10266674,148738,743.959520099641,10.7780816942839
2020,"Indonesia",743198,22138,743198,22138,271.712547999648,8.0936337121685
2020,"Iran (Islamic Republic of)",1218753,55095,1218753,55095,2109.83544050468,16.7311242296949
2020,"Iraq",594442,12808,594442,12808,1477.88415852688,31.8428716382966
2020,"Ireland",91237,2275,91237,2275,1829.98326805964,45.6307411996853
2020,"Isle of Man",379,35,379,35,445.714554520651,41.1609746918807
2020,"Israel",419670,3336,419670,3336,4554.15567926555,36.2014519647101
2020,"Italy",2083689,73604,2083689,73604,3504.97153661122,123.80922727947
2020,"Jamaica",12793,302,12793,302,432.02649231163,10.1987024683899
2020,"Japan",230304,3414,230304,3414,182.403117352151,2.70392282652601
2020,"Jersey",2716,41,2716,41,2109.83544050468,16.7311242296949
2020,"Jordan",293067,3815,293067,3815,2872.32165784259,37.3904503907621
2020,"Kazakhstan",200443,2749,200443,2749,1068.70638451335,14.6569042123058
2020,"Kenya",96251,1667,96251,1667,179.000693678598,3.1001668176146
2020,"Kiribati",0,0,0,0,0,0
2020,"Kosovo[1]",51101,1322,51101,1322,2109.83544050468,16.7311242296949
2020,"Kuwait",150298,933,150298,933,3519.39545207505,21.8472365353233
2020,"Kyrgyzstan",81034,1355,81034,1355,2109.83544050468,16.7311242296949
2020,"Lao People's Democratic Republic",41,0,41,0,2109.83544050468,16.7311242296949
2020,"Latvia",40904,635,40904,635,2152.33347487883,33.4131565751041
2020,"Lebanon",177996,1443,177996,1443,2607.8311118899,21.1414879798261
2020,"Lesotho",2577,64,2577,64,120.293971017415,2.98751033958657
2020,"Liberia",1854,89,1854,89,36.6571451676333,1.75970114343008
2020,"Libya",99935,1459,99935,1459,1454.38547392941,21.2332857003353
2020,"Liechtenstein",2223,44,2223,44,5828.98497522091,115.373521776752
2020,"Lithuania",145052,1799,145052,1799,5189.90942382245,64.3675857861772
2020,"Luxembourg",46334,502,46334,502,7349.71503079698,79.6295796922364
2020,"Madagascar",17714,261,17714,261,63.9701991465175,0.942543862325904
2020,"Malawi",6471,189,6471,189,33.8265301721828,0.987979323526898
2020,"Malaysia",110485,463,110485,463,341.361326167047,1.43051359021897
2020,"Maldives",13757,48,13757,48,2545.03812839705,8.87997602406474
2020,"Mali",7029,269,7029,269,34.7096815864473,1.32834035378494
2020,"Malta",12879,219,12879,219,2499.16558645689,42.4968758004549
2020,"Marshall Islands",4,0,4,0,6.7574416325979,0
2020,"Martinique",6072,42,6072,42,2109.83544050468,16.7311242296949
2020,"Mauritania",14191,340,14191,340,305.205111771613,7.31236262436393
2020,"Mauritius",527,10,527,10,41.6357229762827,0.790051669379177
2020,"Mayotte",5890,55,5890,55,2109.83544050468,16.7311242296949
2020,"Mexico",1496067,147623,1496067,147623,1160.34674292575,114.49612031475
2020,"Micronesia (Federated States of)",0,0,0,0,2109.83544050468,16.7311242296949
2020,"Monaco",853,3,853,3,2173.58067475283,7.64448068494547
2020,"Mongolia",1195,1,1195,1,36.4519084938132,0.0305036891161617
2020,"Montenegro",47668,677,47668,677,7672.22592410181,108.964020949419
2020,"Montserrat",13,1,13,1,2109.83544050468,16.7311242296949
2020,"Morocco",437332,7355,437332,7355,1184.84255913985,19.926547845741
2020,"Mozambique",18485,165,18485,165,59.1417140730884,0.527908186208255
2020,"Myanmar",124630,2682,124630,2682,229.05802583998,4.92925961087079
2020,"Namibia",23932,208,23932,208,941.865059687136,8.18602425267108
2020,"Nauru",0,0,0,0,0,0
2020,"Nepal",260593,2758,260593,2758,894.377311337604,9.46569027053341
2020,"Netherlands",785874,11296,785874,11296,4505.77071926153,64.7650718114841
2020,"New Caledonia",38,0,38,0,13.9726430357405,0
2020,"New Zealand",1807,25,1807,25,35.4995874425366,0.491139837334486
2020,"Nicaragua",4829,165,4829,165,72.8954734160217,2.4907337158094
2020,"Niger",3208,101,3208,101,13.2525642968317,0.417240958223191
2020,"Nigeria",86576,1278,86576,1278,41.9987258439593,0.619968254811726
2020,"Niue",0,0,0,0,2109.83544050468,16.7311242296949
2020,"North Macedonia",82794,2488,82794,2488,3994.82565037628,120.046455276182
2020,"Northern Mariana Islands (Commonwealth of the)",122,2,122,2,2109.83544050468,16.7311242296949
2020,"Norway",49144,433,49144,433,913.54639625614,8.04911259927781
